"","X","mt_id","institution_code","collection_code","specimen_id","authority","taxonomy_notes","morphospecies","species","subgenus","genus","subtribe","tribe","subfamily","family","superfamily","infraorder","suborder","order","class","ncbi_may_edit","ncbi_search_success","ncbi_species","ncbi_id_rank","ncbi_taxid","variant_status","chimera_notes","traptype","dev_stage","site","locality","subregion","country","latitude","longitude","size","feeding_behaviour","habitat","habitat_stratum","authors","library","datasubmitter","projectname","genbank_accession","notes","contigname"
"GBDL01888",1,"GBDL01888","BMNH",NA,"1425236","","","","Abax parallelepipedus","","Abax","","","Pterostichinae","Carabidae","Caraboidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Abax parallelepipedus","species",102642,"unconsidered species duplicate","","","","","","","United Kingdom",NA,NA,NA,NA,"","","Linard B. and Arribas P. and Andujar C. and Crampton-Platt A. and Vogler A.P.","","","","KT876877","","KT876877"
"GBDL02306",2,"GBDL02306","",NA,"","","","","Abax parallelepipedus","","Abax","","","Pterostichinae","Carabidae","Caraboidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Abax parallelepipedus","species",102642,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Margaryan A.","","","","MN122836","","MN122836"
"GBDL01060",3,"GBDL01060","",NA,"","","","","Abax parallelus","","Abax","","Pterostichini","Harpalinae","Carabidae","Caraboidea","","Adephaga","Coleoptera","Insecta",TRUE,TRUE,"Abax parallelus","species",555424,"","","","","","","","",NA,NA,NA,NA,"","","A. Hunter and J Moriniere","","Tang Pu","German Barcoding","KX087231","","KX087231"
"GBDL01483",4,"GBDL01483","BMNH",NA,"844242","","","","Abraeinae sp. MJTNT-2012","","","","","Abraeinae","Histeridae","Histeroidea","Staphyliniformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abraeinae sp. MJTNT-2012","species",1227474,"","","","","","","","United Kingdom",NA,NA,NA,NA,"","","MJTN Timmermans","","MJTN Timmermans","Mitogenomics Coleoptera","JX313690","","JX313690"
"GBDL02082",5,"GBDL02082","",NA,"","","","","Abscondita anceyi","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita anceyi","species",2307266,"unconsidered species duplicate","","","","","","","",NA,NA,NA,NA,"","","Hu J. and Fu X.","","","","MH020192","","MH020192"
"GBDL02733",6,"GBDL02733","",NA,"","","","","Abscondita cerata","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita cerata","species",2740424,"","","","","","","","",NA,NA,NA,NA,"","","Wang L.-J. and Wu Y.-W. and Wang T.-Y.","","","","MW751423","","MW751423"
"GBDL02156",7,"GBDL02156","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",TRUE,TRUE,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Wang J. and Fu X.","","","","MK122952","","MK122952"
"GBDL02913",8,"GBDL02913","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057467","","OM057467"
"GBDL02928",9,"GBDL02928","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057477","","OM057477"
"GBDL02931",10,"GBDL02931","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057469","","OM057469"
"GBDL02995",11,"GBDL02995","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057471","","OM057471"
"GBDL02999",12,"GBDL02999","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Zhang Q.-L.","","","","OM802863","","OM802863"
"GBDL03002",13,"GBDL03002","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057481","","OM057481"
"GBDL03024",14,"GBDL03024","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057478","","OM057478"
"GBDL03032",15,"GBDL03032","",NA,"","","","","Abscondita chinensis","","Abscondita","","","Luciolinae","Lampyridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Insecta",NA,NA,"Abscondita chinensis","species",2599921,"","","","","","","","",NA,NA,NA,NA,"","","Fu X.","","","","OM057466","","OM057466"
